Data Pengamatan Hukum Malus,
Sudut (°),Intensitas (V)
355,"0,97"
0,"0,969"
5,"0,967"
10,"0,961"
15,"0,958"
20,"0,948"
25,"0,933"
30,"0,919"
35,"0,894"
40,"0,862"
45,"0,817"
50,"0,746"
55,"0,615"
60,"0,457"
65,"0,286"
70,"0,169"
75,"0,081"
80,"0,0335"
85,"0,024"
90,"0,052"
95,"0,115"
100,"0,211"
105,"0,357"
110,"0,304"
115,"0,665"
120,"0,782"
125,"0,821"
130,"0,866"
135,"0,89"
140,"0,91"
145,"0,92"
150,"0,941"
155,"0,95"
160,"0,957"
165,"0,963"
170,"0,965"
175,"0,967"
