Data Teory Hukum Malus,
Sudut (°),Intensitas (V)
355,"0,97"
0,"0,9626317602"
5,"0,9407509211"
10,"0,9050223208"
15,"0,8565315549"
20,"0,7967519907"
25,"0,7275"
30,"0,6508797695"
35,"0,5692193662"
40,"0,485"
45,"0,4007806338"
50,"0,3191202305"
55,"0,2425"
60,"0,1732480093"
65,"0,1134684451"
70,"0,06497767916"
75,"0,02924907892"
80,"0,007368239789"
85,0
90,"0,007368239789"
95,"0,02924907892"
100,"0,06497767916"
105,"0,1134684451"
110,"0,1732480093"
115,"0,2425"
120,"0,3191202305"
125,"0,4007806338"
130,"0,485"
135,"0,5692193662"
140,"0,6508797695"
145,"0,7275"
150,"0,7967519907"
155,"0,8565315549"
160,"0,9050223208"
165,"0,9407509211"
170,"0,9626317602"
175,"0,97"
